TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,6,25,20,20,21XX BRUNSWICK ST,Mount Pleasant,492954.2853,5457018.774
Theft from Vehicle,2019,7,16,17,0,21XX BRUNSWICK ST,Mount Pleasant,492954.2853,5457018.774
Theft from Vehicle,2019,4,9,12,24,21XX CAMBIE ST,Mount Pleasant,491665.358,5457107.885
Theft from Vehicle,2019,1,22,20,0,21XX CHARLES ST,Grandview-Woodland,495571.1908,5457806.394
Theft from Vehicle,2019,4,26,19,0,21XX COLLINGWOOD ST,Kitsilano,486771.7332,5457151.764
Theft from Vehicle,2019,6,3,17,0,21XX COLUMBIA ST,Mount Pleasant,492032.5046,5457074.795
Theft from Vehicle,2019,6,6,11,59,21XX COLUMBIA ST,Mount Pleasant,492032.5046,5457074.795
Theft from Vehicle,2019,3,13,0,0,21XX CORNWALL AVE,Kitsilano,488827.6859,5457762.932
Theft from Vehicle,2019,3,12,20,30,21XX DUNBAR ST,Kitsilano,486641.5525,5457195.457
Theft from Vehicle,2019,1,9,20,0,21XX DUNDAS ST,Grandview-Woodland,495565.7106,5459122.927
Theft from Vehicle,2019,3,8,22,30,21XX DUNDAS ST,Grandview-Woodland,495565.7106,5459122.927
Theft from Vehicle,2019,7,2,18,0,21XX DUNDAS ST,Grandview-Woodland,495565.7106,5459122.927
Theft from Vehicle,2019,7,2,23,0,21XX DUNDAS ST,Grandview-Woodland,495565.7106,5459122.927
Theft from Vehicle,2019,7,22,20,0,21XX DUNDAS ST,Grandview-Woodland,495565.7106,5459122.927
Theft from Vehicle,2019,7,22,21,30,21XX DUNDAS ST,Grandview-Woodland,495565.7106,5459122.927
Theft from Vehicle,2019,2,11,21,0,21XX E 13TH AVE,Kensington-Cedar Cottage,495484.4794,5456202.246
Theft from Vehicle,2019,9,21,22,30,21XX E 13TH AVE,Kensington-Cedar Cottage,495574.3475,5456200.755
Theft from Vehicle,2019,6,10,22,0,21XX E 20TH AVE,Kensington-Cedar Cottage,495611.7901,5455426.019
Theft from Vehicle,2019,2,12,17,0,21XX E 29TH AVE,Kensington-Cedar Cottage,495431.9389,5454680.789
Theft from Vehicle,2019,4,12,18,0,21XX E 29TH AVE,Kensington-Cedar Cottage,495431.9389,5454680.789
Theft from Vehicle,2019,7,12,20,0,21XX E 2ND AVE,Grandview-Woodland,495504.2289,5457316.677
Theft from Vehicle,2019,7,23,14,0,21XX E 2ND AVE,Grandview-Woodland,495504.2289,5457316.677
Theft from Vehicle,2019,7,3,2,29,21XX E 2ND AVE,Grandview-Woodland,495531.07,5457325.453
Theft from Vehicle,2019,3,16,13,30,21XX E 30TH AVE,Kensington-Cedar Cottage,495304.8948,5454548.198
Theft from Vehicle,2019,6,24,18,0,21XX E 32ND AVE,Kensington-Cedar Cottage,495436.5234,5454299.997
Theft from Vehicle,2019,9,4,23,0,21XX E 32ND AVE,Kensington-Cedar Cottage,495577.5739,5454306.965
Theft from Vehicle,2019,6,22,8,30,21XX E 33RD AVE,Kensington-Cedar Cottage,495437.417,5454109.579
Theft from Vehicle,2019,6,3,21,30,21XX E 37TH AVE,Kensington-Cedar Cottage,495413.3725,5453791.328
Theft from Vehicle,2019,2,17,5,22,21XX E 38TH AVE,Kensington-Cedar Cottage,495356.1898,5453679.793
Theft from Vehicle,2019,11,2,23,30,21XX E 38TH AVE,Kensington-Cedar Cottage,495417.569,5453687.58
Theft from Vehicle,2019,10,18,0,0,21XX E 39TH AVE,Kensington-Cedar Cottage,495357.4402,5453567.509
Theft from Vehicle,2019,5,24,7,19,21XX E 3RD AVE,Grandview-Woodland,495501.3306,5457215.687
Theft from Vehicle,2019,8,5,18,30,21XX E 3RD AVE,Grandview-Woodland,495501.3306,5457215.687
Theft from Vehicle,2019,3,1,19,0,21XX E 40TH AVE,Kensington-Cedar Cottage,495383.7783,5453465.955
Theft from Vehicle,2019,6,22,20,0,21XX E 45TH AVE,Victoria-Fraserview,495354.2417,5452960.398
Theft from Vehicle,2019,4,27,22,0,21XX E 46TH AVE,Victoria-Fraserview,495391.207,5452859.151
Theft from Vehicle,2019,7,28,10,0,21XX E 46TH AVE,Victoria-Fraserview,495491.2868,5452866.488
Theft from Vehicle,2019,6,4,17,0,21XX E 47TH AVE,Victoria-Fraserview,495451.1938,5452768.422
Theft from Vehicle,2019,8,12,21,0,21XX E 4TH AVE,Grandview-Woodland,495499.3439,5457108.054
Theft from Vehicle,2019,1,12,4,45,21XX E 51ST AVE,Victoria-Fraserview,495412.4301,5452264.282
Theft from Vehicle,2019,5,25,21,45,21XX E 53RD AVE,Victoria-Fraserview,495324.2036,5452049.53
Theft from Vehicle,2019,1,22,16,30,21XX E 55TH AVE,Victoria-Fraserview,495297.6034,5451846.55
Theft from Vehicle,2019,8,20,17,30,21XX E 5TH AVE,Grandview-Woodland,495500.7454,5457015.203
Theft from Vehicle,2019,9,8,0,0,21XX E 61ST AVE,Victoria-Fraserview,495333.8676,5451297.466
Theft from Vehicle,2019,7,29,12,23,21XX E 61ST AVE,Victoria-Fraserview,495377.5068,5451306.139
Theft from Vehicle,2019,8,14,20,0,21XX E HASTINGS ST,Grandview-Woodland,495551.2864,5458719.807
Theft from Vehicle,2019,8,9,5,30,21XX E PENDER ST,Grandview-Woodland,495518.361,5458606.473
Theft from Vehicle,2019,7,1,23,0,21XX FERNDALE ST,Grandview-Woodland,495581.9123,5458542.158
Theft from Vehicle,2019,5,26,12,25,21XX FIR ST,Fairview,489753.3447,5457154.113
Theft from Vehicle,2019,1,13,22,0,21XX FRANKLIN ST,Grandview-Woodland,495518.0301,5458814.1
Theft from Vehicle,2019,8,14,0,0,21XX FRANKLIN ST,Grandview-Woodland,495546.6705,5458822.749
Theft from Vehicle,2019,10,7,0,0,21XX FRANKLIN ST,Grandview-Woodland,495551.649,5458813.518
Theft from Vehicle,2019,2,17,17,30,21XX GARDEN DR,Grandview-Woodland,495768.3511,5456941.369
Theft from Vehicle,2019,9,15,20,0,21XX GRANDVIEW HWY S,Kensington-Cedar Cottage,495588.1606,5456276.846
Theft from Vehicle,2019,7,12,16,0,21XX GRAVELEY ST,Grandview-Woodland,495505.2227,5457516.415
Theft from Vehicle,2019,2,7,2,0,21XX GRAVELEY ST,Grandview-Woodland,495532.3077,5457525.142
Theft from Vehicle,2019,9,23,20,0,21XX GRAVELEY ST,Grandview-Woodland,495535.0136,5457525.1
Theft from Vehicle,2019,8,10,16,50,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495412.9364,5454593.009
Theft from Vehicle,2019,1,2,19,0,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495428.667,5454581.453
Theft from Vehicle,2019,6,11,20,15,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495480.851,5454543.118
Theft from Vehicle,2019,10,23,16,0,21XX LAKEWOOD DR,Grandview-Woodland,495498.3782,5457018.237
Theft from Vehicle,2019,7,7,15,0,21XX LILLOOET ST,Hastings-Sunrise,497165.8894,5456989.749
Theft from Vehicle,2019,3,22,18,55,21XX MACDONALD ST,Kitsilano,487758.9057,5457201.339
Theft from Vehicle,2019,6,22,15,50,21XX MANITOBA ST,Mount Pleasant,492242.7263,5457088.989
Theft from Vehicle,2019,1,31,21,0,21XX NAPIER ST,Grandview-Woodland,495509.1987,5458002.226
Theft from Vehicle,2019,7,21,20,30,21XX NAPIER ST,Grandview-Woodland,495509.1987,5458002.226
Theft from Vehicle,2019,1,16,16,0,21XX OXFORD ST,Grandview-Woodland,495552.4796,5459215.554
Theft from Vehicle,2019,6,4,0,0,21XX OXFORD ST,Grandview-Woodland,495632.9791,5459224.304
Theft from Vehicle,2019,8,11,21,0,21XX OXFORD ST,Grandview-Woodland,495632.9791,5459224.304
Theft from Vehicle,2019,3,3,16,0,21XX PANDORA ST,Grandview-Woodland,495523.789,5458917.223
Theft from Vehicle,2019,3,27,0,0,21XX PANDORA ST,Grandview-Woodland,495523.789,5458917.223
Theft from Vehicle,2019,7,2,18,0,21XX PANDORA ST,Grandview-Woodland,495561.2184,5458923.743
Theft from Vehicle,2019,4,16,12,0,21XX PARKER ST,Grandview-Woodland,495510.4898,5458098.626
Theft from Vehicle,2019,2,8,22,0,21XX PARKER ST,Grandview-Woodland,495569.7885,5458106.782
Theft from Vehicle,2019,8,11,7,0,21XX PINE ST,Fairview,489581.1543,5457155.834
Theft from Vehicle,2019,5,29,15,0,21XX QUALICUM DR,Victoria-Fraserview,495387.5983,5451068.761
Theft from Vehicle,2019,2,21,2,0,21XX QUALICUM DR,Victoria-Fraserview,495475.7657,5451064.167
Theft from Vehicle,2019,7,16,15,0,21XX RENFREW ST,Hastings-Sunrise,496771.6795,5456959.555
Theft from Vehicle,2019,7,9,19,45,21XX RENFREW ST,Hastings-Sunrise,496780.8234,5456959.515
Theft from Vehicle,2019,10,14,9,30,21XX RUPERT ST,Hastings-Sunrise,497555.7055,5456985.533
Theft from Vehicle,2019,2,2,22,0,21XX SCARBORO AVE,Victoria-Fraserview,495371.3398,5451197.812
Theft from Vehicle,2019,1,2,1,30,21XX SCOTIA ST,Mount Pleasant,492815.4072,5457070
Theft from Vehicle,2019,1,11,21,0,21XX SCOTIA ST,Mount Pleasant,492815.4072,5457070
Theft from Vehicle,2019,3,7,13,0,21XX SEMLIN DR,Grandview-Woodland,495355.2707,5457005.724
Theft from Vehicle,2019,8,30,15,0,21XX SEMLIN DR,Grandview-Woodland,495355.4562,5457016.28
Theft from Vehicle,2019,6,9,0,0,21XX SKEENA ST,Hastings-Sunrise,497923.9556,5456972.388
Theft from Vehicle,2019,9,11,17,0,21XX SLOCAN ST,Hastings-Sunrise,496403.6538,5456989.78
Theft from Vehicle,2019,4,15,1,0,21XX SOUTHSIDE DR,Victoria-Fraserview,495310.1766,5450632.047
Theft from Vehicle,2019,9,29,22,30,21XX SOUTHSIDE DR,Victoria-Fraserview,495317.2405,5450638.738
Theft from Vehicle,2019,1,22,19,30,21XX SOUTHSIDE DR,Victoria-Fraserview,495326.1655,5450634.277
Theft from Vehicle,2019,9,12,9,30,21XX STAINSBURY AVE,Kensington-Cedar Cottage,495466.623,5455316.026
Theft from Vehicle,2019,2,14,16,0,21XX STANLEY PARK DR,Stanley Park,491426.3308,5460819.07
Theft from Vehicle,2019,9,19,13,0,21XX STANLEY PARK DR,Stanley Park,491432.5557,5460812.289
Theft from Vehicle,2019,1,12,16,6,21XX STANLEY PARK DR,Stanley Park,491433.2538,5460813.096
Theft from Vehicle,2019,9,10,14,30,21XX TRIUMPH ST,Grandview-Woodland,495536.4444,5459024.794
Theft from Vehicle,2019,3,22,12,0,21XX TURNER ST,Grandview-Woodland,495614.0333,5458490.91
Theft from Vehicle,2019,5,18,22,0,21XX VENABLES ST,Grandview-Woodland,495525.8442,5458203.621
Theft from Vehicle,2019,1,26,11,45,21XX W 10TH AVE,Kitsilano,488868.1756,5456684.204
Theft from Vehicle,2019,5,4,16,0,21XX W 12TH AVE,Kitsilano,488726.6225,5456489.952
Theft from Vehicle,2019,5,4,18,0,21XX W 12TH AVE,Kitsilano,488726.6225,5456489.952
Theft from Vehicle,2019,9,16,0,1,21XX W 14TH AVE,Kitsilano,488761.9937,5456284.276
Theft from Vehicle,2019,7,14,15,0,21XX W 18TH AVE,Arbutus Ridge,488861.1928,5455945.183
Theft from Vehicle,2019,7,22,18,0,21XX W 1ST AVE,Kitsilano,488885.2994,5457565.025
Theft from Vehicle,2019,7,22,23,0,21XX W 1ST AVE,Kitsilano,488885.2994,5457565.025
Theft from Vehicle,2019,9,23,23,0,21XX W 2ND AVE,Kitsilano,488727.2511,5457471.045
Theft from Vehicle,2019,3,16,18,0,21XX W 2ND AVE,Kitsilano,488770.519,5457479.061
Theft from Vehicle,2019,1,28,6,39,21XX W 2ND AVE,Kitsilano,488886.1276,5457466.893
Theft from Vehicle,2019,8,19,19,0,21XX W 33RD AVE,Arbutus Ridge,488820.5406,5454378.213
Theft from Vehicle,2019,1,31,22,0,21XX W 34TH AVE,Arbutus Ridge,488627.5649,5454278.571
Theft from Vehicle,2019,10,9,21,0,21XX W 34TH AVE,Arbutus Ridge,488742.5027,5454282.499
Theft from Vehicle,2019,3,8,17,30,21XX W 36TH AVE,Arbutus Ridge,488534.4664,5454070.951
Theft from Vehicle,2019,8,17,9,19,21XX W 37TH AVE,Arbutus Ridge,488673.6456,5453953.403
Theft from Vehicle,2019,7,29,23,30,21XX W 3RD AVE,Kitsilano,488832.6459,5457379.716
Theft from Vehicle,2019,10,5,1,0,21XX W 42ND AVE,Kerrisdale,488622.6369,5453431.614
Theft from Vehicle,2019,3,24,13,0,21XX W 47TH AVE,Kerrisdale,488566.6188,5452933.158
Theft from Vehicle,2019,3,15,9,0,21XX W 48TH AVE,Kerrisdale,488656.5422,5452822.468
Theft from Vehicle,2019,1,16,13,0,21XX W 6TH AVE,Kitsilano,488756.9687,5457090.745
Theft from Vehicle,2019,1,16,20,30,21XX W 6TH AVE,Kitsilano,488756.9687,5457090.745
Theft from Vehicle,2019,1,17,20,12,21XX W 6TH AVE,Kitsilano,488756.9687,5457090.745
Theft from Vehicle,2019,10,23,21,47,21XX W 6TH AVE,Kitsilano,488872.1354,5457078.864
Theft from Vehicle,2019,9,26,21,45,21XX W 8TH AVE,Kitsilano,488788.7125,5456897.464
Theft from Vehicle,2019,6,14,17,0,21XX W BROADWAY AVE,Kitsilano,488731.7172,5456794.81
Theft from Vehicle,2019,2,18,1,0,21XX WALL ST,Grandview-Woodland,495526.9283,5459307.566
Theft from Vehicle,2019,8,26,19,0,21XX WALL ST,Grandview-Woodland,495526.9405,5459307.59
Theft from Vehicle,2019,9,16,14,0,21XX WALL ST,Grandview-Woodland,495526.9405,5459307.59
Theft from Vehicle,2019,7,28,19,0,21XX WALL ST,Grandview-Woodland,495575.4025,5459400.563
Theft from Vehicle,2019,2,21,15,30,21XX WATERLOO ST,Kitsilano,486927.6754,5457225.401
Theft from Vehicle,2019,2,22,7,23,21XX WATERLOO ST,Kitsilano,486927.6754,5457225.401
Theft from Vehicle,2019,10,11,22,0,21XX WILLIAM ST,Grandview-Woodland,495537.5662,5457908.555
Theft from Vehicle,2019,2,4,20,5,21XX YEW ST,Kitsilano,488714.7903,5457178.492
Theft from Vehicle,2019,1,30,18,30,21XX YORK AVE,Kitsilano,488818.6682,5457672.388
Theft from Vehicle,2019,2,1,9,12,21XX YORK AVE,Kitsilano,488818.6682,5457672.388
Theft from Vehicle,2019,4,30,9,54,21XX YORK AVE,Kitsilano,488818.6682,5457672.388
Theft from Vehicle,2019,11,13,10,47,21XX YORK AVE,Kitsilano,488818.6682,5457672.388
Theft from Vehicle,2019,10,2,18,0,21XX YORK AVE,Kitsilano,488840.2744,5457662.652
Theft from Vehicle,2019,10,21,16,0,21XX YORK AVE,Kitsilano,488840.2744,5457662.652
Theft from Vehicle,2019,11,5,18,0,21XX YORK AVE,Kitsilano,488840.2744,5457662.652
Theft from Vehicle,2019,11,5,20,0,21XX YORK AVE,Kitsilano,488840.2744,5457662.652
Theft from Vehicle,2019,2,25,0,0,21XX YORK AVE,Kitsilano,488874.7496,5457661.712
Theft from Vehicle,2019,9,7,20,30,21XX YORK AVE,Kitsilano,488874.7496,5457661.712
Theft from Vehicle,2019,9,17,18,30,22XX ALBERTA ST,Mount Pleasant,491940.7617,5456994.05
Theft from Vehicle,2019,3,24,17,30,22XX ASH ST,Fairview,491462.1754,5457015.238
Theft from Vehicle,2019,8,3,22,0,22XX ASH ST,Fairview,491462.1754,5457015.238
Theft from Vehicle,2019,6,5,0,0,22XX BALACLAVA ST,Kitsilano,487353.0557,5457116.477
Theft from Vehicle,2019,3,9,20,0,22XX BONACCORD DR,Victoria-Fraserview,495482.6196,5450860.623
Theft from Vehicle,2019,6,15,0,0,22XX BONNYVALE AVE,Victoria-Fraserview,495664.0179,5451596.247
Theft from Vehicle,2019,8,16,15,30,22XX BRUNSWICK ST,Mount Pleasant,492952.5861,5456963.601
Theft from Vehicle,2019,5,14,0,15,22XX BURQUITLAM DR,Victoria-Fraserview,495473.6906,5450825.281
Theft from Vehicle,2019,9,20,19,0,22XX BURQUITLAM DR,Victoria-Fraserview,495561.5697,5450778.035
Theft from Vehicle,2019,10,15,20,0,22XX BURQUITLAM DR,Victoria-Fraserview,495561.5697,5450778.035
Theft from Vehicle,2019,9,22,2,50,22XX BURQUITLAM DR,Victoria-Fraserview,495577.1392,5450769.665
Theft from Vehicle,2019,6,29,10,10,22XX CAMBIE ST,Mount Pleasant,491656.6827,5456919.974
Theft from Vehicle,2019,10,28,15,30,22XX CAMBIE ST,Mount Pleasant,491656.6827,5456919.974
Theft from Vehicle,2019,5,29,18,0,22XX CAMBRIDGE ST,Grandview-Woodland,495666.6194,5459315.982
Theft from Vehicle,2019,7,13,0,0,22XX CAROLINA ST,Mount Pleasant,493383.4014,5456945.667
Theft from Vehicle,2019,10,29,11,0,22XX CASSIAR ST,Hastings-Sunrise,497748.1637,5456793.699
Theft from Vehicle,2019,9,18,21,0,22XX CHARLES ST,Grandview-Woodland,495649.9151,5457795.842
Theft from Vehicle,2019,1,2,17,30,22XX COLUMBIA ST,Mount Pleasant,492040.9485,5456991.34
Theft from Vehicle,2019,3,11,4,20,22XX COMMERCIAL DR,Grandview-Woodland,494920.8907,5456876.826
Theft from Vehicle,2019,4,19,13,15,22XX COMMERCIAL DR,Grandview-Woodland,494920.8907,5456876.826
Theft from Vehicle,2019,8,14,19,45,22XX COMMERCIAL DR,Grandview-Woodland,494921.0416,5456887.936
Theft from Vehicle,2019,11,11,10,0,22XX COMMERCIAL DR,Grandview-Woodland,494921.0416,5456887.936
Theft from Vehicle,2019,6,23,18,0,22XX COMMERCIAL DR,Grandview-Woodland,494930.0082,5456874.802
Theft from Vehicle,2019,6,24,2,0,22XX COMMERCIAL DR,Grandview-Woodland,494930.0082,5456874.802
Theft from Vehicle,2019,8,19,13,0,22XX COMMERCIAL DR,Grandview-Woodland,494930.0082,5456874.802
Theft from Vehicle,2019,9,20,0,0,22XX DUNDAS ST,Grandview-Woodland,495664.7508,5459114.112
Theft from Vehicle,2019,1,17,15,0,22XX DUNDAS ST,Grandview-Woodland,495729.6321,5459113.342
Theft from Vehicle,2019,7,10,1,0,22XX DUNDAS ST,Grandview-Woodland,495758.097,5459113.003
Theft from Vehicle,2019,1,26,22,30,22XX E 10TH AVE,Kensington-Cedar Cottage,495630.5713,5456500.315
Theft from Vehicle,2019,8,16,23,0,22XX E 10TH AVE,Kensington-Cedar Cottage,495630.5713,5456500.315
Theft from Vehicle,2019,10,23,21,0,22XX E 11TH AVE,Kensington-Cedar Cottage,495632.0789,5456398.982
Theft from Vehicle,2019,10,14,8,0,22XX E 12TH AVE,Kensington-Cedar Cottage,495698.5371,5456298.879
Theft from Vehicle,2019,7,27,11,11,22XX E 1ST AVE,Grandview-Woodland,495732.1612,5457412.714
Theft from Vehicle,2019,4,7,19,0,22XX E 28TH AVE,Kensington-Cedar Cottage,495602.3268,5454777.766
Theft from Vehicle,2019,5,2,23,0,22XX E 30TH AVE,Kensington-Cedar Cottage,495532.1399,5454371.112
Theft from Vehicle,2019,2,5,22,30,22XX E 30TH AVE,Kensington-Cedar Cottage,495681.2414,5454271.228
Theft from Vehicle,2019,1,1,0,0,22XX E 35TH AVE,Kensington-Cedar Cottage,495481.0499,5453918.616
Theft from Vehicle,2019,9,5,22,0,22XX E 37TH AVE,Kensington-Cedar Cottage,495558.0326,5453798.009
Theft from Vehicle,2019,6,24,20,0,22XX E 38TH AVE,Kensington-Cedar Cottage,495490.7875,5453677.73
Theft from Vehicle,2019,5,5,22,0,22XX E 40TH AVE,Kensington-Cedar Cottage,495485.012,5453456.149
Theft from Vehicle,2019,8,11,20,0,22XX E 40TH AVE,Kensington-Cedar Cottage,495489.8301,5453456.075
Theft from Vehicle,2019,5,16,23,30,22XX E 40TH AVE,Kensington-Cedar Cottage,495623.8084,5453463.153
Theft from Vehicle,2019,4,28,1,30,22XX E 41ST AVE,Victoria-Fraserview,495480.6011,5453335.732
Theft from Vehicle,2019,9,1,19,45,22XX E 42ND AVE,Victoria-Fraserview,495486.1312,5453249.565
Theft from Vehicle,2019,10,25,15,0,22XX E 43RD AVE,Victoria-Fraserview,495491.6595,5453154.506
Theft from Vehicle,2019,9,17,18,0,22XX E 46TH AVE,Victoria-Fraserview,495534.6835,5452856.558
Theft from Vehicle,2019,8,28,20,0,22XX E 46TH AVE,Victoria-Fraserview,495548.6482,5452856.306
Theft from Vehicle,2019,1,1,18,15,22XX E 47TH AVE,Victoria-Fraserview,495470.2457,5452758.817
Theft from Vehicle,2019,5,25,19,0,22XX E 48TH AVE,Victoria-Fraserview,495475.5563,5452605.487
Theft from Vehicle,2019,7,29,8,23,22XX E 48TH AVE,Victoria-Fraserview,495598.2255,5452604.281
Theft from Vehicle,2019,8,13,0,30,22XX E 4TH AVE,Grandview-Woodland,495639.1366,5457107.1
Theft from Vehicle,2019,8,12,22,0,22XX E 4TH AVE,Grandview-Woodland,495652.6143,5457107.259
Theft from Vehicle,2019,6,18,20,0,22XX E 50TH AVE,Victoria-Fraserview,495650.363,5452360.308
Theft from Vehicle,2019,5,16,19,0,22XX E 50TH AVE,Victoria-Fraserview,495665.0007,5452350.887
Theft from Vehicle,2019,3,15,17,30,22XX E 51ST AVE,Victoria-Fraserview,495450.8032,5452254.364
Theft from Vehicle,2019,2,21,16,30,22XX E 51ST AVE,Victoria-Fraserview,495530.1688,5452252.684
Theft from Vehicle,2019,7,4,18,0,22XX E 53RD AVE,Victoria-Fraserview,495444.2269,5452047.454
Theft from Vehicle,2019,10,27,19,0,22XX E 54TH AVE,Victoria-Fraserview,495547.6934,5451933.598
Theft from Vehicle,2019,9,17,18,5,22XX E 5TH AVE,Grandview-Woodland,495758.9848,5457012.271
Theft from Vehicle,2019,2,14,10,23,22XX E 61ST AVE,Victoria-Fraserview,495646.3898,5451302.997
Theft from Vehicle,2019,2,26,18,0,22XX E 7TH AVE,Grandview-Woodland,495647.6597,5456817.398
Theft from Vehicle,2019,2,24,0,41,22XX E 7TH AVE,Grandview-Woodland,495706.5414,5456826.909
Theft from Vehicle,2019,10,25,0,0,22XX E 8TH AVE,Grandview-Woodland,495651.1524,5456720.206
Theft from Vehicle,2019,5,12,16,0,22XX E BROADWAY AVE,Grandview-Woodland,495725.4139,5456615.265
Theft from Vehicle,2019,2,17,0,0,22XX E HASTINGS ST,Grandview-Woodland,495662.9566,5458719.542
Theft from Vehicle,2019,6,23,22,0,22XX E PENDER ST,Grandview-Woodland,495694.1764,5458605.952
Theft from Vehicle,2019,5,5,17,30,22XX ETON ST,Grandview-Woodland,495713.5926,5459416.656
Theft from Vehicle,2019,9,24,19,30,22XX ETON ST,Grandview-Woodland,495726.2869,5459424.884
Theft from Vehicle,2019,10,6,23,30,22XX ETON ST,Grandview-Woodland,495746.228,5459426.06
Theft from Vehicle,2019,2,11,18,30,22XX FERNDALE ST,Grandview-Woodland,495698.9847,5458550.247
Theft from Vehicle,2019,1,20,1,0,22XX FERNDALE ST,Grandview-Woodland,495712.4776,5458550.088
Theft from Vehicle,2019,3,27,3,30,22XX FRANKLIN ST,Grandview-Woodland,495657.9049,5458811.668
Theft from Vehicle,2019,6,17,6,30,22XX GALT ST,Kensington-Cedar Cottage,495560.5246,5454612.607
Theft from Vehicle,2019,1,9,3,35,22XX GLEN DR,Mount Pleasant,494089.2154,5456941.849
Theft from Vehicle,2019,10,5,22,0,22XX GRANT ST,Grandview-Woodland,495645.0502,5457603.045
Theft from Vehicle,2019,10,22,20,0,22XX GRANT ST,Grandview-Woodland,495658.794,5457612.014
Theft from Vehicle,2019,9,17,19,0,22XX GRANVILLE ST,Fairview,489920.5664,5457017.464
Theft from Vehicle,2019,6,28,18,0,22XX GRAVELEY ST,Grandview-Woodland,495698.2329,5457513.455
Theft from Vehicle,2019,7,18,19,0,22XX HARRISON DR,Victoria-Fraserview,495488.4141,5450682.797
Theft from Vehicle,2019,4,23,3,12,22XX HEATHER ST,Fairview,491288.8487,5456972.527
Theft from Vehicle,2019,10,17,21,0,22XX HIGHBURY ST,West Point Grey,486351.2044,5457145.199
Theft from Vehicle,2019,1,5,10,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495509.516,5454533.615
Theft from Vehicle,2019,7,21,21,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495557.5641,5454488.916
Theft from Vehicle,2019,9,3,22,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495557.5641,5454488.916
Theft from Vehicle,2019,6,20,0,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495562.7988,5454496.413
Theft from Vehicle,2019,10,15,7,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495610.2997,5454463.249
Theft from Vehicle,2019,5,17,21,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495610.7532,5454462.932
Theft from Vehicle,2019,10,10,15,30,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495661.3151,5454427.63
Theft from Vehicle,2019,11,12,11,0,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495661.3151,5454427.63
Theft from Vehicle,2019,3,14,23,30,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495674.6925,5454418.29
Theft from Vehicle,2019,8,17,20,30,22XX LAUREL ST,Fairview,490975.6443,5456948.872
Theft from Vehicle,2019,3,4,16,30,22XX LILLOOET ST,Hastings-Sunrise,497164.7152,5456884.09
Theft from Vehicle,2019,8,12,21,0,22XX MACDONALD ST,Kitsilano,487756.1237,5457106.034
Theft from Vehicle,2019,3,6,15,0,22XX MANITOBA ST,Mount Pleasant,492228.2768,5456966.541
Theft from Vehicle,2019,8,4,0,30,22XX MAPLE ST,Kitsilano,489059.719,5457074.211
Theft from Vehicle,2019,6,15,20,0,22XX MCGILL ST,Grandview-Woodland,495727.7367,5459516.476
Theft from Vehicle,2019,7,3,8,0,22XX MCLEAN DR,Grandview-Woodland,494507.6338,5456882.555
Theft from Vehicle,2019,2,1,0,0,22XX NAPIER ST,Grandview-Woodland,495649.3412,5458002.269
Theft from Vehicle,2019,2,3,18,0,22XX NAPIER ST,Grandview-Woodland,495649.3412,5458002.269
Theft from Vehicle,2019,2,24,17,0,22XX NEWPORT AVE,Victoria-Fraserview,495478.5438,5451386.268
Theft from Vehicle,2019,7,3,22,0,22XX NEWPORT AVE,Victoria-Fraserview,495587.7027,5451384.949
Theft from Vehicle,2019,10,17,14,40,22XX OXFORD ST,Grandview-Woodland,495680.509,5459214.89
Theft from Vehicle,2019,1,20,10,0,22XX OXFORD ST,Grandview-Woodland,495730.2966,5459214.563
Theft from Vehicle,2019,1,21,0,0,22XX OXFORD ST,Grandview-Woodland,495730.2966,5459214.563
Theft from Vehicle,2019,10,16,17,30,22XX OXFORD ST,Grandview-Woodland,495730.2966,5459214.563
Theft from Vehicle,2019,10,17,2,0,22XX OXFORD ST,Grandview-Woodland,495730.2966,5459214.563
Theft from Vehicle,2019,4,4,4,0,22XX OXFORD ST,Grandview-Woodland,495763.1608,5459223.492
Theft from Vehicle,2019,1,3,22,0,22XX PARKER ST,Grandview-Woodland,495650.7202,5458096.42
Theft from Vehicle,2019,4,4,17,0,22XX PARKER ST,Grandview-Woodland,495724.9808,5458097.518
Theft from Vehicle,2019,5,1,22,0,22XX PINE ST,Fairview,489578.5442,5457062.718
Theft from Vehicle,2019,5,12,11,26,22XX PRINCE ALBERT ST,Mount Pleasant,493665.0415,5456905.794
Theft from Vehicle,2019,5,11,12,0,22XX PRINCE ALBERT ST,Mount Pleasant,493665.0538,5456907.052
Theft from Vehicle,2019,5,14,16,0,22XX PRINCE ALBERT ST,Mount Pleasant,493665.0538,5456907.052
